Gene_Symbol	Role_in_Cancer	in_cosmic	in_CPG
PRSS1	TSG	0	1
EZH2	oncogene/TSG	1	0
CCNB1IP1	-	1	0
NDRG1	-	1	0
SOX2	-	1	0
LYL1	-	1	0
SMARCA4	TSG	1	1
CEBPA	TSG	1	1
AXIN2	TSG	1	1
AXIN1	-	1	0
RB1	TSG	1	1
SMAD2	TSG	1	0
SUZ12	-	1	0
FCRL4	-	1	0
YWHAE	-	1	0
XPO1	-	1	0
RAC1	-	1	0
SBDS	TSG	1	1
NR4A3	-	1	0
CARD11	-	1	0
FCGR2B	-	1	0
STIL	-	1	0
HIST1H3B	-	1	0
EBF1	-	1	0
C15orf65	-	1	0
PDCD1LG2	-	1	0
LMNA	-	1	0
PBX1	-	1	0
RAD51C	TSG	0	1
ABI1	TSG	1	0
TLX1	-	1	0
NOTCH2	oncogene/TSG	1	0
ACKR3	oncogene	1	0
VTI1A	-	1	0
PICALM	-	1	0
CANT1	-	1	0
KAT6B	-	1	0
KAT6A	-	1	0
PTCH1	TSG	1	1
CRLF2	-	1	0
SND1	-	1	0
JUN	-	1	0
FBXO11	-	1	0
CHN1	-	1	0
RANBP17	-	1	0
ZNF384	-	1	0
MAP3K1	-	1	0
CACNA1D	-	1	0
CBFA2T3	-	1	0
FAM46C	-	1	0
NUP214	-	1	0
NF2	TSG	1	1
BRCA1	TSG	1	1
FLCN	TSG	1	1
FAM131B	-	1	0
BRCA2	TSG	1	1
H3F3A	-	1	0
ERBB4	oncogene/TSG	1	0
TRIM24	-	1	0
IDH2	oncogene	1	0
IDH1	oncogene	1	0
TRIM27	-	1	0
CREB1	-	1	0
PER1	-	1	0
RPL10	-	1	0
BRD4	-	1	0
MDM2	oncogene	1	0
SETD2	TSG	1	0
MDM4	oncogene	1	0
FGFR3	-	1	0
BRD3	-	1	0
RSPO3	-	1	0
TCL6	-	1	0
ATIC	-	1	0
NIN	-	1	0
PTPN13	TSG	1	0
KIF5B	-	1	0
OMD	-	1	0
PPFIBP1	-	1	0
TCF7L2	-	1	0
KIT	oncogene	1	1
FOXA1	-	1	0
RUNX1	oncogene	1	1
XPC	TSG	1	1
MYO5A	-	1	0
ZNF278	-	1	0
LZTR1	TSG	1	0
TTL	-	1	0
RNF213	-	1	0
C12orf9	-	1	0
DOCK8	TSG	0	1
GBA	TSG	0	1
HRAS	oncogene	1	1
HIF1A	oncogene	1	0
CRTC1	-	1	0
TNFRSF17	-	1	0
CRTC3	-	1	0
SEPT9	-	1	0
SEPT5	-	1	0
TSHR	-	1	0
SEPT6	-	1	0
DAXX	-	1	0
SDHAF2	TSG	1	1
MAML2	-	1	0
SRSF3	-	1	0
PDE4DIP	-	1	0
NONO	-	1	0
AFF4	oncogene	1	0
AFF3	oncogene	1	0
AFF1	oncogene	1	0
ROS1	oncogene	1	0
TFRC	-	1	0
PPP6C	-	1	0
CHEK2	TSG	1	1
TRRAP	oncogene	1	0
PAX5	-	1	0
PAX7	-	1	0
PAX3	-	1	0
PAX8	-	1	0
GPHN	-	1	0
HOXC11	oncogene	1	0
ASPSCR1	oncogene	1	0
TP53	TSG	1	1
GNAQ	-	1	0
ESR1	-	1	0
CD274	-	1	0
PALB2	TSG	1	1
SFPQ	-	1	0
HMGN2P46	-	1	0
STRN	-	1	0
NFE2L2	-	1	0
PHF6	-	1	0
MYCN	oncogene	1	0
LCK	-	1	0
SH2D1A	TSG	0	1
NTRK1	-	1	0
TBX3	oncogene/TSG	1	0
LHFP	-	1	0
CD79B	-	1	0
BCR	oncogene	1	0
CD79A	-	1	0
STAT6	-	1	0
STAT3	oncogene	1	1
HOXA13	oncogene	1	0
HOXA11	oncogene	1	0
ECT2L	-	1	0
CBFB	-	1	0
RABEP1	-	1	0
ERCC2	TSG	1	1
BCL7A	oncogene	1	0
GOLGA5	-	1	0
TAL1	-	1	0
THRAP3	-	1	0
TAL2	-	1	0
SF3B1	-	1	0
USP6	-	1	0
ATRX	-	1	0
RAD51D	TSG	0	1
WAS	TSG	1	1
RAD51B	-	1	0
TBL1XR1	-	1	0
KCNJ5	-	1	0
MSN	-	1	0
GNAS	-	1	0
IL2	-	1	0
COL1A1	-	1	0
CDH11	-	1	0
PPP2R1A	-	1	0
CDKN2C	TSG	1	0
BIRC3	-	1	0
FOXO3	oncogene/TSG	1	0
BMPR1A	TSG	1	1
FOXO1	oncogene/TSG	1	0
RUNX1T1	oncogene	1	0
TOP1	-	1	0
FOXO4	oncogene/TSG	1	0
NCKIPSD	-	1	0
MLLT4	-	1	0
FAS	TSG	1	1
MLLT6	-	1	0
MLLT1	oncogene	1	0
MLLT3	oncogene	1	0
FAH	TSG	0	1
ZCCHC8	-	1	0
NUTM2B	-	1	0
HNRNPA2B1	-	1	0
NUTM2A	-	1	0
NRG1	-	1	0
TERT	TSG	1	1
PLAG1	-	1	0
NT5C2	-	1	0
MALT1	-	1	0
RUNDC2A	-	1	0
KMT2A	oncogene	1	0
SMARCB1	TSG	1	1
DUX4L1	-	1	0
KMT2D	-	1	0
SPOP	-	1	0
MSI2	-	1	0
POU5F1	-	1	0
DIS3L2	TSG	0	1
PIM1	-	1	0
CASP8	TSG	1	0
BCL9	oncogene	1	0
BCL5	oncogene	1	0
BCL6	oncogene	1	0
BCL3	oncogene	1	0
BCL2	oncogene	1	0
SSX4	-	1	0
SSX2	-	1	0
SSX1	-	1	0
CDX2	-	1	0
AKT1	oncogene	1	0
AKT2	oncogene	1	0
MDS2	-	1	0
MAFB	-	1	0
NKX2-1	-	1	0
PMS2	TSG	1	1
FSTL3	-	1	0
WHSC1L1	-	1	0
NTRK3	-	1	0
HSP90AB1	-	1	0
SLC34A2	-	1	0
ARHGAP26	TSG	1	0
MYC	oncogene	1	0
MYB	-	1	0
DDIT3	-	1	0
FLI1	-	1	0
PRF1	-	1	0
PMS1	-	1	0
ATP2B3	-	1	0
RHBDF2	oncogene	0	1
UBR5	-	1	0
KRAS	oncogene	1	0
SOCS1	TSG	1	0
ACSL3	-	1	0
ACSL6	-	1	0
DDX5	-	1	0
FAT1	TSG	1	0
KMT2C	-	1	0
FAT4	TSG	1	0
KDM5A	-	1	0
KDM5C	-	1	0
REL	oncogene	1	0
TRIM33	-	1	0
PCM1	-	1	0
HLA-A	-	1	0
RPL5	-	1	0
TRIM37	TSG	0	1
NFKBIE	-	1	0
DEK	-	1	0
CLTC	-	1	0
DNM2	-	1	0
RNF217-AS1	-	1	0
CHD4	oncogene	1	0
ASXL1	TSG	1	0
AMER1	TSG	1	0
NOTCH1	oncogene/TSG	1	0
DDX6	-	1	0
PIK3R1	-	1	0
MYD88	oncogene	1	0
HMBS	TSG	0	1
NACA	-	1	0
TFEB	-	1	0
TRA	-	1	0
MN1	-	1	0
TRB	-	1	0
RNF43	-	1	0
TRD	-	1	0
ABCB11	TSG	0	1
RHOH	-	1	0
RHOA	-	1	0
ETV1	-	1	0
KDSR	-	1	0
ETV5	-	1	0
ETV4	-	1	0
ETV6	-	1	0
MPL	oncogene	1	0
SDC4	-	1	0
HOXD13	oncogene	1	0
TNFAIP3	-	1	0
HOXD11	oncogene	1	0
AR	oncogene	1	0
FNBP1	-	1	0
CASC5	-	1	0
JAZF1	-	1	0
POT1	-	1	0
MUTYH	TSG	1	1
SS18L1	-	1	0
ABL1	oncogene	1	0
ABL2	oncogene	1	0
IKZF1	TSG	1	0
NCOR2	TSG	1	0
NCOR1	-	1	0
BTG1	-	1	0
MTAP	TSG	0	1
BCL10	-	1	0
POLD1	TSG	0	1
KDM6A	-	1	0
NBN	TSG	1	1
PML	oncogene	1	0
NFKB2	oncogene	1	0
ELN	-	1	0
ELL	-	1	0
HMGA2	oncogene	1	0
HMGA1	-	1	0
FEV	-	1	0
BCOR	TSG	1	0
CSF3R	-	1	0
GOPC	-	1	0
HEY1	-	1	0
ZNF521	-	1	0
DICER1	TSG	1	1
SOS1	oncogene	0	1
WWTR1	-	1	0
MET	oncogene	1	1
PRKACA	oncogene	1	0
KDR	-	1	0
HSP90AA1	-	1	0
CIC	-	1	0
ACVR1	oncogene	1	0
NUMA1	-	1	0
BCL11A	-	1	0
BCL11B	-	1	0
VHL	TSG	1	1
TLX3	-	1	0
ELF4	-	1	0
RMI2	-	1	0
SERPINA1	TSG	0	1
ZRSR2	-	1	0
NRAS	oncogene	1	0
MLH1	TSG	1	1
GRIN2A	-	1	0
SRSF2	-	1	0
BRAF	oncogene	1	0
PDGFB	oncogene	1	0
DNMT3A	TSG	1	0
RAD21	-	1	0
HOOK3	-	1	0
TMPRSS2	-	1	0
DKC1	TSG	0	1
GPC3	TSG	1	1
TSC2	TSG	1	1
CLTCL1	-	1	0
NPM1	-	1	0
CNTRL	-	1	0
NFIB	-	1	0
CLP1	-	1	0
PTPRK	-	1	0
EZR	oncogene	1	0
CREB3L2	-	1	0
CREB3L1	-	1	0
PTPRC	-	1	0
PTPRB	-	1	0
GNA11	-	1	0
SDHA	TSG	1	1
C2orf44	-	1	0
BAP1	TSG	1	1
SDHB	TSG	1	1
ATF1	-	1	0
SDHD	TSG	1	1
PRKAR1A	TSG	1	1
