#cytobandId	chrom	bkpA	bkpB	class	orientation	ref	known
11p15.2	11	14737455	14743485	L1PA2	+	1	1
12p13.32	12	3608362	3614395	L1HS	-	1	1
13q22.2	13	77186959	77192987	L1HS	-	1	1
14q12-3	14	31154016	31160044	L1HS	-	1	0
15q25.2-1	15	84052404	84058369	L1PA2	+	1	1
18q21.32	18	57071172	57077203	L1PA2	-	1	1
2p25.1	2	11136232	11142263	L1HS	-	1	0
20p11.21	20	23406746	23412778	L1HS	+	1	1
22q12.1	22	29059272	29065304	L1HS	+	1	1
3p21.1	3	53399324	53405353	L1PA2	-	1	1
4q28.3	4	137214650	137220702	L1HS	-	1	0
4p15.2	4	23616395	23622410	L1HS	+	1	1
5p13.1	5	39787755	39793774	L1PA2	+	1	1
5q14.1-1	5	79074737	79080762	L1HS	-	1	0
5q14.1-2	5	80911910	80917938	L1HS	+	1	1
6p12.3	6	51531356	51536770	L1PA3	-	1	1
7q11.21	7	65751841	65757872	L1HS	-	1	1
9q32	9	115560408	115566440	L1HS	-	1	1
Xq22.3	X	105712516	105718550	L1HS	+	1	1
